,dswx_s1_id,dswx_s1_wtr,dswx_s1_conf
10,OPERA_L3_DSWx-S1_T22JCM_20231125T084946Z_20240524T002812Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JCM_20231125T084946Z_20240524T002812Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JCM_20231125T084946Z_20240524T002812Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JCM_20231125T084946Z_20240524T002812Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JCM_20231125T084946Z_20240524T002812Z_S1A_30_v0.1_B03_CONF.tif
11,OPERA_L3_DSWx-S1_T22JCM_20240508T220710Z_20240524T005817Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JCM_20240508T220710Z_20240524T005817Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JCM_20240508T220710Z_20240524T005817Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JCM_20240508T220710Z_20240524T005817Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JCM_20240508T220710Z_20240524T005817Z_S1A_30_v0.1_B03_CONF.tif
12,OPERA_L3_DSWx-S1_T22JEM_20231125T084942Z_20240524T002731Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEM_20231125T084942Z_20240524T002731Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEM_20231125T084942Z_20240524T002731Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEM_20231125T084942Z_20240524T002731Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEM_20231125T084942Z_20240524T002731Z_S1A_30_v0.1_B03_CONF.tif
13,OPERA_L3_DSWx-S1_T22JEM_20240508T220701Z_20240524T005928Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEM_20240508T220701Z_20240524T005928Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEM_20240508T220701Z_20240524T005928Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEM_20240508T220701Z_20240524T005928Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEM_20240508T220701Z_20240524T005928Z_S1A_30_v0.1_B03_CONF.tif
14,OPERA_L3_DSWx-S1_T22JEN_20231125T084926Z_20240524T002751Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEN_20231125T084926Z_20240524T002751Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEN_20231125T084926Z_20240524T002751Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEN_20231125T084926Z_20240524T002751Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEN_20231125T084926Z_20240524T002751Z_S1A_30_v0.1_B03_CONF.tif
15,OPERA_L3_DSWx-S1_T22JEN_20240508T220718Z_20240524T005918Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEN_20240508T220718Z_20240524T005918Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEN_20240508T220718Z_20240524T005918Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEN_20240508T220718Z_20240524T005918Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEN_20240508T220718Z_20240524T005918Z_S1A_30_v0.1_B03_CONF.tif
16,OPERA_L3_DSWx-S1_T22JDP_20240508T220734Z_20240524T004340Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDP_20240508T220734Z_20240524T004340Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDP_20240508T220734Z_20240524T004340Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDP_20240508T220734Z_20240524T004340Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDP_20240508T220734Z_20240524T004340Z_S1A_30_v0.1_B03_CONF.tif
17,OPERA_L3_DSWx-S1_T22JDP_20231125T084913Z_20240524T003405Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDP_20231125T084913Z_20240524T003405Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDP_20231125T084913Z_20240524T003405Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDP_20231125T084913Z_20240524T003405Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDP_20231125T084913Z_20240524T003405Z_S1A_30_v0.1_B03_CONF.tif
18,OPERA_L3_DSWx-S1_T22JDP_20240511T084914Z_20240524T003016Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDP_20240511T084914Z_20240524T003016Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDP_20240511T084914Z_20240524T003016Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDP_20240511T084914Z_20240524T003016Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDP_20240511T084914Z_20240524T003016Z_S1A_30_v0.1_B03_CONF.tif
19,OPERA_L3_DSWx-S1_T22JEP_20240511T084914Z_20240524T002929Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEP_20240511T084914Z_20240524T002929Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEP_20240511T084914Z_20240524T002929Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEP_20240511T084914Z_20240524T002929Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEP_20240511T084914Z_20240524T002929Z_S1A_30_v0.1_B03_CONF.tif
20,OPERA_L3_DSWx-S1_T22JEP_20231125T084912Z_20240524T003335Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEP_20231125T084912Z_20240524T003335Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEP_20231125T084912Z_20240524T003335Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEP_20231125T084912Z_20240524T003335Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEP_20231125T084912Z_20240524T003335Z_S1A_30_v0.1_B03_CONF.tif
21,OPERA_L3_DSWx-S1_T22JEP_20240508T220731Z_20240524T004400Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEP_20240508T220731Z_20240524T004400Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEP_20240508T220731Z_20240524T004400Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JEP_20240508T220731Z_20240524T004400Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JEP_20240508T220731Z_20240524T004400Z_S1A_30_v0.1_B03_CONF.tif
